"boot1","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6"
0,1,-46.888,-23.641,-8.4111315822999,4.44468519921767,1.83856930248325,-8.30899072799157,-1.38877330087367,-5.12584773626008
0,1,-46.625,-23.656,-8.26166538847772,4.91989654367265,1.69450294019209,-7.93667620741562,-1.41187687142824,-5.06588009550836
1,1,-46.491,-23.767,-9.91161285288671,2.53477682472502,2.75548296257477,-8.83610815837976,-1.14757777970879,-4.9426477473538
0,1,-46.971,-23.772,-8.82103148090983,3.58947144802885,2.15282455181477,-8.50588049207989,-1.273366254676,-4.94074751716136
1,1,-48.683,-24.533,-8.49806995829892,5.41259454933786,3.28873191083782,-7.7287745620552,-1.18640729725959,-5.7203940395636
0,1,-50.13,-27,-8.20480185557809,4.26893186432619,3.73260816701985,-7.39131645799443,-1.07285383448171,-6.16706292634527
0,1,-49.14,-27.27,-9.19028097082383,4.37402660930874,3.78200582648164,-7.16041083925952,-1.00708738824831,-5.35503210427346
1,1,-49.41,-27.27,-8.37592980334021,3.53178146665155,3.45385854396329,-7.27029986620818,-1.03644388911535,-5.62958477834574
0,1,-49.41,-27.36,-8.3894292888284,3.56530500592273,3.47865861000398,-7.25682946737704,-1.00134588408862,-5.56639619297332
1,1,-49.05,-27.54,-8.6038933420618,3.3700010811826,3.4075769203118,-7.17142994800702,-0.911268381450694,-5.18100760587676
1,1,-49.23,-27.9,-8.17313119048297,2.82656091812386,3.2286251566023,-7.10711713954894,-0.951239968059308,-5.36722636336737
0,1,-48.87,-28.08,-8.89613729499817,4.06492750047675,3.57123470016309,-6.74236027315267,-0.831476331575476,-4.79025836020503
0,1,-49.499,-28.26,-8.5646164673065,4.4667518738371,3.56675060057257,-7.41648335188203,-1.12532141593651,-5.79125435853584
1,1,-42.928,-22.044,-8.85471673333415,5.99948746929609,1.76121871249922,-9.21417839812028,-1.28415961338445,-5.41360359404892
0,1,-44.623,-22.428,-7.78296269145842,4.35121660814306,1.2386683281066,-10.078441688927,-1.36130897887621,-5.42261895655975
1,1,-43.158,-22.535,-9.51360414580325,5.02969060072758,2.19149967597163,-8.34194978634643,-1.36343419332137,-5.00618500488243
1,1,-45.358,-22.544,-8.06432501225741,3.71002497650188,1.34146076752878,-10.2358199163495,-1.27426830202792,-5.26165322887219
0,1,-45.322,-23.327,-8.04297040717218,4.19215903883814,1.65391790559841,-8.96383009797602,-1.32499919400721,-5.08217921218754
1,1,-46.611,-23.41,-8.25188126371432,4.88701651343082,1.60316226675657,-8.27058653473231,-1.39556741720523,-5.13567897018494
0,1,-43.885,-21.708,-8.42967439446002,5.37739442843622,1.05568708200116,-9.20966970303402,-1.43476752235258,-5.22152586178663
0,1,-42.569,-22.441,-8.75731754442255,5.41241344412526,1.66338715501044,-8.42013153133965,-1.29314281646481,-5.10726328685135
0,1,-43.362,-22.124,-8.84451091485911,6.56784662150123,1.77874616967208,-8.9872333633647,-1.41924881080691,-5.63610640298949
0,1,-43.318,-21.748,-8.84304710978743,5.74934103738327,1.33022053818735,-9.04010892732279,-1.34713721701099,-5.17493899873174
0,1,-44.59,-22.034,-7.80867857861053,4.72147279223315,1.14456557135036,-10.1248185354524,-1.36433077168171,-5.59616015334339
0,1,-44.772,-22.127,-7.72690289104231,4.17840780180507,1.00833062744399,-10.3858665261328,-1.372984174295,-5.57756922096565
0,1,-50.606,-21.133,-8.62509790008629,7.61656837696481,1.8947320216319,-8.84902017981507,-1.77136477840711,-6.60654916382338
0,1,-51.826,-23.279,-8.31903383929507,5.56160117030341,2.40171082976893,-8.09931028478829,-1.61865969000054,-6.47682469264658
0,1,-53.368,-23.691,-8.88315487073247,6.12749438643389,3.37014405585499,-7.95092737349519,-1.50640571943563,-7.20379606642589
0,1,-47.11,-22.822,-8.2809503377695,5.98496126401543,1.71533760989056,-8.85443540697795,-1.65777341806098,-5.8504337429092
1,1,-46.704,-22.935,-7.98190274857257,5.02749558349042,1.50668632674763,-8.72947063442439,-1.46448904953733,-5.55105601378117
0,1,-51.254,-23.45,-8.97662557220881,5.70709869254247,2.50045211616724,-8.30368976342202,-1.57658628341857,-6.45759933669042
0,0,-60.25,1.91666666666667,-12.3489431575859,7.59503406680858,-0.478707060067529,-7.37215447784266,-0.080352309168357,-7.3936350097874
1,0,-72.25,-36.75,-5.53262007198778,5.7537593423379,1.57690255991965,-7.4915081738763,1.67962586496527,-6.39114345136172
0,0,-62.0833333333333,7.91666666666667,-10.2840595808091,8.2840635913616,0.0142747406262003,-6.20969166163912,-2.19592910587926,-6.89760979068735
0,0,-42.5833333333333,-6.08333333333333,-10.5164213898446,9.16889727339477,0.102176169551506,-8.17323754846511,-0.56577384058945,-7.12316188104831
0,0,-75.4166666666667,-13.75,-2.63707095756607,5.78750145058424,-2.30026099847861,-8.79560045979063,-1.7580278790753,-8.35788194794111
0,0,-68.9166666666667,-0.416666666666666,-15.3774374548383,2.62788184140218,2.61811734254729,-7.4981468504543,-1.84899098006438,-8.66887407223601
0,0,-57.75,3.25,-12.2470685036894,7.47415320520432,0.152410533077271,-7.43112185594355,-0.475548706723227,-6.44331478210922
1,0,-40.4166666666667,-16.25,-8.54504281958226,8.34247031291704,1.40943407331689,-6.65514884121874,-1.8513427709951,-6.85777231765909
0,0,-74.25,0.916666666666668,-13.3186727382025,5.69889932690243,1.06370444950893,-7.46911420022075,-0.361427579069884,-6.80323697543656
0,0,-77.25,1.25,-7.49022854217221,0.809989129053442,-1.01614685588492,-6.43970452028499,-2.33658616370729,-5.54631397725804
1,0,-72.0833333333333,-5.75,-13.1490389290942,5.54162679762369,1.75565832474331,-8.06240786928516,-2.60375179021571,-6.75664426737016
0,0,-70.5833333333333,4.08333333333333,-13.2592481804175,6.81562692788918,0.465672283014667,-7.89764454173947,1.17747740453775,-6.50794440221275
0,0,-69.4166666666667,-5.75,-13.3107850685694,5.59689779593892,1.23463012836479,-8.5584239972667,-2.026319260558,-6.76354078739874
1,0,-42.5833333333333,-4.75,-11.1200879930495,9.31310012117996,-0.188325437545549,-8.17932740513321,0.703705671025893,-7.75931088641756
0,0,-37.4166666666667,-8.08333333333333,-7.97560532861967,8.45311020977213,0.205055783741469,-6.34277119935984,-1.64148877494215,-6.5253840639863
0,0,-59.25,-15.5833333333333,-9.75751825622715,8.22102772382665,1.05805709317011,-9.05054820538762,-1.29683874685396,-6.90094687843822
0,0,-50.0833333333333,-8.75,-10.9953658776833,8.77537908526174,0.350677287073369,-8.98536522691611,-1.50044741412732,-6.81135151151538
0,0,-51.4166666666667,-18.0833333333333,-9.99175270221441,7.17834317819591,0.668182440096374,-9.00584538032495,-1.98943931664324,-6.21590915572177
